58.7430453118414° N           9.30069637364321° E
58.741770355906° N            9.29124799480019° E
58.7394867335375° N           9.27662863366218° E
58.7397116887318° N           9.26187502481945° E
58.7422360076512° N           9.25091361061903° E
58.7452969006004° N           9.24593802063158° E
58.7466313210889° N           9.24368319966357° E
58.746574146077° N            9.2415244188571° E
58.7454085551333° N           9.23771096402228° E
58.7414376197117° N           9.22972121176249° E
58.7414585938255° N           9.2175810635098° E
58.7419907344364° N           9.20844281275892° E
58.7465475384476° N           9.19818683655309° E
58.7450705791038° N           9.19090637840333° E
58.7442349184617° N           9.18226828295906° E
58.7461556128379° N           9.17566299850032° E
58.7455678239829° N           9.16746763713573° E
58.7435480433927° N           9.16845995695765° E
58.7399318217293° N           9.16781728521483° E
58.7392620405571° N           9.15399685160612° E
58.7413212860146° N           9.1425826746713° E
58.7397936864185° N           9.1327162026116° E
58.7410410759311° N           9.12657940117367° E
58.7452131905345° N           9.12066347734138° E
58.7470710362009° N           9.11057891262721° E
58.7471033320038° N           9.09928888305623° E
58.7450967150388° N           9.08900983567861° E
58.7464902356705° N           9.07764719429745° E
58.7474606426142° N           9.06892971326394° E
58.7528758223458° N           9.06942638305281° E
58.7552121622739° N           9.06189880115714° E
58.750011178175° N            9.06010660589935° E
58.7459836061103° N           9.06207114651011° E
58.7429303689692° N           9.06704629856069° E
58.7382694591656° N           9.0704057961673° E
58.7343472332705° N           9.06632577038059° E
58.7287891914656° N           9.05626457414892° E
58.725935781048° N            9.05948942512268° E
58.7249831905729° N           9.07126925959695° E
58.7250116848703° N           9.08512485724° E
58.7234340589475° N           9.09693272840629° E
58.7247137627888° N           9.1063854409471° E
58.724490852647° N            9.11806750580813° E
58.7230719457638° N           9.11515140087436° E
58.719149960299° N            9.10976978306753° E
58.7190128811734° N           9.114540762546° E
58.7188748073416° N           9.11932885971709° E
58.7183777376947° N           9.12974887202718° E
58.7180992624555° N           9.13972261440865° E
58.7169012361726° N           9.1493257893369° E
58.7193180567315° N           9.15827089209959° E
58.7208533501801° N           9.16943263070508° E
58.7189905322825° N           9.17820775172773° E
58.7153796748412° N           9.17801569242307° E
58.7128233442653° N           9.18640593387547° E
58.7161010108652° N           9.19313480673369° E
58.7224092464746° N           9.19360166333406° E
58.7240446002483° N           9.18527069385742° E
58.7249861168003° N           9.17394135544709° E
58.7247662705563° N           9.16183406681614° E
58.7247370828645° N           9.14666157982011° E
58.726735577015° N            9.13179535926655° E
58.7295394269137° N           9.12512150751084° E
58.7286799765676° N           9.11348959493806° E
58.731376169992° N            9.10205025478827° E
58.7353449343418° N           9.09659961563172° E
58.7365729465643° N           9.08912550462785° E
58.7387103119665° N           9.0955105589032° E
58.7389031699399° N           9.10718384098016° E
58.7384620078462° N           9.12023518822286° E
58.7345991474041° N           9.13174665322416° E
58.7337396681461° N           9.14652345206809° E
58.7339580734282° N           9.16038258145241° E
58.7352372567721° N           9.18154918754511° E
58.7353504749407° N           9.20105451484486° E
58.7369608444266° N           9.21784932653218° E
58.7348234041084° N           9.22404820471441° E
58.7320407164203° N           9.21902908710418° E
58.7288819152251° N           9.20576978601844° E
58.7245727635388° N           9.20344141661215° E
58.7231532134439° N           9.21305701971416° E
58.7254638241901° N           9.22893328981685° E
58.7250965930118° N           9.23501447422254° E
58.7196587094648° N           9.23145869242465° E
58.7107910105546° N           9.22638929932151° E
58.7046587173682° N           9.22285062340674° E
58.7029301444399° N           9.21298914322533° E
58.7049295366163° N           9.19901786792014° E
58.7041019068762° N           9.18911047669626° E
58.7008793502179° N           9.1711301484601° E
58.6965167933332° N           9.15321122183436° E
58.6983483895878° N           9.14185720055895° E
58.6972627695207° N           9.13066244449003° E
58.6963776619137° N           9.11901940005084° E
58.6985126012557° N           9.11238838319025° E
58.696295082087° N            9.10127296605797° E
58.6947350018283° N           9.09013583629124° E
58.690735056996° N            9.07954196231231° E
58.6866813249309° N           9.06683140587249° E
58.6843754350521° N           9.05140192709949° E
58.6809858092263° N           9.03734288144278° E
58.6802093900067° N           9.02052313791429° E
58.6774597646211° N           9.00426299079239° E
58.6793990733181° N           8.99937619505943° E
58.6855413682985° N           9.00415320289056° E
58.6842584865523° N           8.99557988903484° E
58.6798132260381° N           8.98549500254042° E
58.6724799799986° N           8.97863347254238° E
58.672760992209° N            8.98206974725633° E
58.67584231599° N             8.99051695527325° E
58.6713716486579° N           8.99254780957377° E
58.6708751711002° N           9.00124316197256° E
58.673814438687° N            9.01576944156413° E
58.6753150627502° N           9.03558120955594° E
58.6762063576452° N           9.04763018924683° E
58.6793699838007° N           9.06168360932557° E
58.6833218696128° N           9.07959531553147° E
58.6855992480111° N           9.09460652118208° E
58.6896540109581° N           9.1081852070514° E
58.6898783141102° N           9.12029740166301° E
58.6925941259303° N           9.13527093675129° E
58.6940137788079° N           9.15207634511502° E
58.6945188199827° N           9.16763125472226° E
58.6941291054898° N           9.18583023377922° E
58.6921776649358° N           9.2036812664912° E
58.6876566172701° N           9.21522460207575° E
58.6837378445848° N           9.22324097172175° E
58.6818465864506° N           9.21729941298677° E
58.6790967188887° N           9.21532084109722° E
58.6794634431774° N           9.2079332623836° E
58.6753220669945° N           9.20344237910449° E
58.6732049771967° N           9.19749783321018° E
58.6710709142623° N           9.19115340656928° E
58.6660101638555° N           9.19879238661198° E
58.6629598638635° N           9.19035043128632° E
58.6630134968608° N           9.18083649809775° E
58.6550657007619° N           9.17571068322035° E
58.6544605008518° N           9.16751655492728° E
58.6605451736113° N           9.16757465174933° E
58.6644604919802° N           9.1595569632762° E
58.6624547530216° N           9.14843466838892° E
58.6643475124981° N           9.14182076041722° E
58.6611563753076° N           9.13812974770086° E
58.6567585931617° N           9.13104736083043° E
58.6538697173538° N           9.11913500342774° E
58.6489006689641° N           9.11815849988962° E
58.6470940527892° N           9.13166134653232° E
58.645737143261° N            9.13047243779423° E
58.6423699551318° N           9.11858361935005° E
58.6392932711411° N           9.10926971915675° E
58.6366750815403° N           9.10166114528232° E
58.6342596561801° N           9.09186161872509° E
58.6299028471391° N           9.08652481664261° E
58.6269316006218° N           9.07247082552003° E
58.624339672443° N            9.06616731475473° E
58.6202368049828° N           9.06210509789348° E
58.6199292357147° N           9.05737399505267° E
58.6253422007815° N           9.05829696378639° E
58.6241177318728° N           9.05276733206605° E
58.6179783370844° N           9.04930289867881° E
58.6135959502078° N           9.04352112545791° E
58.6141187342089° N           9.03529356843003° E
58.61473310118° N             9.03008447519497° E
58.6137085298506° N           9.02410899791736° E
58.617952368174° N            9.02423779405718° E
58.6194542835423° N           9.01852526301542° E
58.6144006667693° N           9.01282140792157° E
58.6124522551097° N           9.00560039684047° E
58.6115111521347° N           9.00262573954785° E
58.606145685224° N            9.00472216809673° E
58.6020369313389° N           9.00113442701182° E
58.597788097039° N            9.00226693914114° E
58.5959292142825° N           9.00023982314596° E
58.5943130098536° N           8.99687485556127° E
58.5922566774257° N           8.99598708337412° E
58.5925047968912° N           8.99799575192802° E
58.5909299991325° N           8.99720790533416° E
58.5897849790742° N           8.99685607057213° E
58.5875382413751° N           8.99657376112431° E
58.585510425069° N            8.99584628414393° E
58.5838944430504° N           8.99420679395836° E
58.5825076170991° N           8.99171023273668° E
58.5826730608701° N           8.98913518601365° E
58.5835379427757° N           8.98604204910249° E
58.5843990456993° N           8.98341365387308° E
58.5854508690811° N           8.98074882191368° E
58.5870081899101° N           8.97979121604586° E
58.5885889066904° N           8.97968248992703° E
58.5887872612379° N           8.97794031155476° E
58.5891467522034° N           8.97274236319337° E
58.5897571605744° N           8.96969102221896° E
58.5926762916766° N           8.96906906507845° E
58.5958150493331° N           8.96798438735965° E
58.5982592906643° N           8.96653935328137° E
58.6004790705503° N           8.96469353199038° E
58.6015601330364° N           8.96332573320164° E
58.6019831970065° N           8.95984443225895° E
58.6020894900702° N           8.95465297561508° E
58.6031487735005° N           8.95026221393246° E
58.6042288967213° N           8.94891097535663° E
58.6051434321864° N           8.94841127876245° E
58.6066757377499° N           8.94701619270623° E
58.6073151407323° N           8.94351931716622° E
58.6083999422777° N           8.94128860454922° E
58.610874532673° N            8.94112325796011° E
58.612897157837° N            8.94274453917917° E
58.6145064671046° N           8.94434737140227° E
58.6156794282641° N           8.94642821675691° E
58.6168446245929° N           8.94809370389695° E
58.618178975762° N            8.94844201675966° E
58.6190617741462° N           8.94707378896813° E
58.618811490689° N            8.94451138590669° E
58.6173969109212° N           8.9420095896348° E
58.6158120121735° N           8.94123921482961° E
58.6148964602109° N           8.94001341380064° E
58.6146518291466° N           8.93829790516317° E
58.6139212027231° N           8.93618912978916° E
58.6127896220092° N           8.93496130380465° E
58.6112038805591° N           8.93420848076898° E
58.6091717632589° N           8.93434603638417° E
58.6075918439645° N           8.93443970416945° E
58.6055923476311° N           8.93542812788851° E
58.6031456647723° N           8.9373236790216° E
58.6015905843492° N           8.93785268296341° E
58.5995662308616° N           8.93840531594866° E
58.5982282935686° N           8.93852271197123° E
58.5964254251236° N           8.93818158592999° E
58.5948396971547° N           8.93742901714426° E
58.5930076462662° N           8.93713476748901° E
58.5905358027522° N           8.9368525063381° E
58.5885064303867° N           8.93654204258179° E
58.5871444395232° N           8.93620710247651° E
58.5862583338653° N           8.93667723340635° E
58.5851232042796° N           8.93591534348421° E
58.5835083522396° N           8.93384790537748° E
58.581892671316° N            8.93179776636015° E
58.5816152342803° N           8.92923364705078° E
58.5827257769002° N           8.92702571829473° E
58.5822552399788° N           8.92532532312989° E
58.5808729341504° N           8.92367726266906° E
58.5785894293078° N           8.92341080081754° E
58.5763670140963° N           8.92396488322799° E
58.5755109464755° N           8.92573303955802° E
58.574844371455° N            8.92710234317868° E
58.5751218600543° N           8.92966594839236° E
58.5783431892692° N           8.93417739833826° E
58.5813111012175° N           8.93657786811947° E
58.5854512519666° N           8.94107467261255° E
58.5877574034618° N           8.94434651804475° E
58.5905043480285° N           8.94762490453078° E
58.5925683656945° N           8.95009763168865° E
58.5930613436206° N           8.95266502358529° E
58.5933687624895° N           8.95651154539844° E
58.5927586575462° N           8.96130527042285° E
58.5910130425237° N           8.96399066694485° E
58.5883451776002° N           8.96501805296465° E
58.5851720212339° N           8.96394166964626° E
58.5831439861344° N           8.96321613201926° E
58.5810656284306° N           8.96163733790645° E
58.5794491777189° N           8.95999962298055° E
58.5776427309805° N           8.95838138271159° E
58.5762897416368° N           8.95804724928521° E
58.5742893016417° N           8.95905064011168° E
58.5724824473638° N           8.95956986573609° E
58.5702286738141° N           8.95885811374546° E
58.5684283211055° N           8.95768950694987° E
58.5668159112488° N           8.95693217657465° E
58.5657337075126° N           8.95871225423445° E
58.5642033555341° N           8.96141525481642° E
58.5633143425374° N           8.96233199918322° E
58.559758716176° N            8.96386214294445° E
58.5574838206745° N           8.96399101138799° E
58.5554496706454° N           8.96281719452057° E
58.5538405534185° N           8.96121640397467° E
58.5517828250268° N           8.95919482007589° E
58.5497270739595° N           8.95674321111042° E
58.5474277019813° N           8.954302107984° E
58.544895636327° N            8.95144287182229° E
58.5428168891254° N           8.94812728868869° E
58.541420147186° N            8.9456340116397° E
58.5418108234519° N           8.94129198405455° E
58.5422028609178° N           8.93827608181255° E
58.5410316230816° N           8.93576985722123° E
58.5387318159866° N           8.93333074845985° E
58.5364276585722° N           8.93001314523106° E
58.534812981761° N            8.92755306203207° E
58.5327297707785° N           8.92509998686558° E
58.5317531119863° N           8.92130229026743° E
58.5324180199798° N           8.91996866931783° E
58.5346419975886° N           8.91938068688279° E
58.5351202047502° N           8.91935825978192° E
58.5341981159764° N           8.91768729448793° E
58.5323705263401° N           8.91651757008105° E
58.5309820672387° N           8.91402779409271° E
58.5295623219895° N           8.91065503545373° E
58.5277002741599° N           8.90691531946036° E
58.525810463643° N            8.9014329399121° E
58.524364824996° N            8.89724795780697° E
58.5235878083046° N           8.89124826696114° E
58.5221407575029° N           8.88532558221083° E
